accreditations,address,admissions_url,alternate_names,arwu_ranking,average_tuition_domestic,average_tuition_international,campus_size_acres,campus_type,city,colors,confidence_score,country,created_at,data_source,description,email,endowment_usd,faculty_count,founding_year,housing_options,international_students,international_support,latitude,libraries_count,logo_url,longitude,mascot,memberships,motto,name,phone,qs_world_ranking,research_centers,research_intensity,social_media,sports_facilities,state_province,student_faculty_ratio,student_organizations,subject_rankings,support_services,the_world_ranking,tier,total_students,type,university_id,updated_at,us_news_ranking,website
[],,,[],,,,,,Garching,[],0.0,Germany,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,Technical University of Munich,,,[],,{},[],,,[],{},[],,,,,9e550f3fda50,2025-11-28T06:57:30.507000,,
[],,,[],,,,,,Oxford,[],0.0,United Kingdom,2025-11-28T06:57:30.247000,scraped,,,,,,[],,[],,,,,,[],,University of Oxford,,,[],,{},[],,,[],{},[],,,,,034e4add99a2,2025-11-28T06:57:30.252000,,
[],,,[],,,,,,Berlin,[],0.0,Germany,2025-11-27T10:10:06.780000,scraped,,,,,,[],,[],,,,,,[],,Test University,,,[],,{},[],,,[],{},[],,,,,8f71d927adbe,2025-11-27T10:10:06.816000,,
[],,,[],,,,,,London,[],0.0,United Kingdom,2025-11-27T10:10:06.780000,scraped,,,,,,[],,[],,,,,,[],,Another University,,,[],,{},[],,,[],{},[],,,,,e396b9bb1500,2025-11-27T10:10:06.819000,,
[],,,[],,,,,,Cambridge,[],0.0,United Kingdom,2025-11-28T06:57:30.247000,scraped,,,,,,[],,[],,,,,,[],,University of Cambridge,,,[],,{},[],,,[],{},[],,,,,cd1e97a94688,2025-11-28T06:57:30.496000,,
[],,,[],,,,,,London,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,Imperial College London,,,[],,{},[],,,[],{},[],,,,,e34025a23097,2025-11-28T06:57:30.499000,,
[],,,[],,,,,,Zurich,[],0.0,Switzerland,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,ETH Zurich,,,[],,{},[],,,[],{},[],,,,,5acc350ce7b4,2025-11-28T06:57:30.501000,,
[],,,[],,,,,,London,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,University College London,,,[],,{},[],,,[],{},[],,,,,b518666df0bb,2025-11-28T06:57:30.503000,,
[],,,[],,,,,,Utrecht,[],0.0,Netherlands,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,Utrecht University,,,[],,{},[],,,[],{},[],,,,,43e9946bba74,2025-11-28T06:57:30.533000,,
[],,,[],,,,,,Utrecht,[],0.0,Netherlands,2025-11-27T10:10:06.779000,scraped,,,,,,[],,[],,,,,,[],,Universiteit Utrecht,,,[],,{},[],,,[],{},[],,,,,0cc289d45daf,2025-11-27T10:10:06.792000,,
[],,,[],,,,,,Leuven,[],0.0,Belgium,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,KU Leuven,,,[],,{},[],,,[],{},[],,,,,b9e10e54d776,2025-11-28T06:57:30.539000,,
[],,,[],,,,,,Lausanne,[],0.0,Switzerland,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,École Polytechnique Fédérale de Lausanne (EPFL),,,[],,{},[],,,[],{},[],,,,,285c76401d87,2025-11-28T06:57:30.509000,,
[],,,[],,,,,,Edinburgh,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,The University of Edinburgh,,,[],,{},[],,,[],{},[],,,,,f829b4066671,2025-11-28T06:57:30.512000,,
[],,,[],,,,,,Amsterdam,[],0.0,Netherlands,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,University of Amsterdam,,,[],,{},[],,,[],{},[],,,,,f81343cb7402,2025-11-28T06:57:30.524000,,
[],,,[],,,,,,Tartu,[],0.0,Estonia,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,University of Tartu,,,[],,{},[],,,[],{},[],,,,,a7d36af24a22,2025-11-28T06:57:30.535000,,
[],,,[],,,,,,Leiden,[],0.0,Netherlands,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,Leiden University,,,[],,{},[],,,[],{},[],,,,,0f22bc98a5be,2025-11-28T06:57:30.541000,,
[],,,[],,,,,,Munich,[],0.0,Germany,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,Ludwig Maximilian University of Munich,,,[],,{},[],,,[],{},[],,,,,7f4a6d9ab120,2025-11-28T06:57:30.527000,,
[],,,[],,,,,,Munich,[],0.0,Germany,2025-11-27T10:10:06.779000,scraped,,,,,,[],,[],,,,,,[],,Ludwig Maximilians University Munich,,,[],,{},[],,,[],{},[],,,,,f3891529ae5a,2025-11-27T10:10:06.807000,,
[],,,[],,,,,,Munich,[],0.0,Germany,2025-11-27T10:10:06.779000,scraped,,,,,,[],,[],,,,,,[],,Ludwig-Maximilians University Munich,,,[],,{},[],,,[],{},[],,,,,3e103d798ee1,2025-11-27T10:10:06.809000,,
[],,,[],,,,,,Munich and Paris,[],0.0,Germany and France,2025-11-27T10:10:06.780000,scraped,,,,,,[],,[],,,,,,[],,Ludwig Maximilian University of Munich and Université Panthéon-Sorbonne (Paris 1),,,[],,{},[],,,[],{},[],,,,,4e17a826d473,2025-11-27T10:10:06.810000,,
[],,,[],,,,,,Edinburgh,[],0.0,United Kingdom,2025-11-27T10:10:06.780000,scraped,,,,,,[],,[],,,,,,[],,University of Edinburgh,,,[],,{},[],,,[],{},[],,,,,889265a8545f,2025-11-27T10:10:06.812000,,
[],,,[],,,,,,Manchester,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,The University of Manchester,,,[],,{},[],,,[],{},[],,,,,0ff92db0445f,2025-11-28T06:57:30.514000,,
[],,,[],,,,,,Stanford,[],0.0,USA,2025-11-27T10:10:30.758000,scraped,,,,,,[],,[],,,,,,[],,Test New University,,,[],,{},[],,,[],{},[],,,,,4db2ed99a185,2025-11-27T10:10:30.758000,,
[],,,[],,,,,,London,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,King's College London,,,[],,{},[],,,[],{},[],,,,,9e24584e609f,2025-11-28T06:57:30.516000,,
[],,,[],,,,,,Glasgow,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,University of Glasgow,,,[],,{},[],,,[],{},[],,,,,8d2f2e20d3df,2025-11-28T06:57:30.520000,,
[],,,[],,,,,,Leeds,[],0.0,United Kingdom,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,University of Leeds,,,[],,{},[],,,[],{},[],,,,,10c5ba7be7a7,2025-11-28T06:57:30.521000,,
[],,,[],,,,,,Lausanne,[],0.0,Switzerland,2025-11-27T11:37:27.411000,scraped,,,,,,[],,[],,,,,,[],,École Polytechnique Fédérale de Lausanne,,,[],,{},[],,,[],{},[],,,,,a9fbe52baf79,2025-11-27T11:37:27.470000,,
[],,,[],,,,,,Delft,[],0.0,Netherlands,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,Delft University of Technology,,,[],,{},[],,,[],{},[],,,,,0a402f4f1fc0,2025-11-28T06:57:30.518000,,
[],,,[],,,,,,Paris,[],0.0,France,2025-11-28T06:57:30.248000,scraped,,,,,,[],,[],,,,,,[],,PSL University,,,[],,{},[],,,[],{},[],,,,,654820ad2e5f,2025-11-28T06:57:30.505000,,
[],,,[],,,,,,Coventry,[],0.0,United Kingdom,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,University of Warwick,,,[],,{},[],,,[],{},[],,,,,b42ebb0a6291,2025-11-28T06:57:30.529000,,
[],,,[],,,,,,Heidelberg,[],0.0,Germany,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,Heidelberg University,,,[],,{},[],,,[],{},[],,,,,4227c8329d10,2025-11-28T06:57:30.531000,,
[],,,[],,,,,,Athens,[],0.0,Greece,2025-11-28T06:57:30.249000,scraped,,,,,,[],,[],,,,,,[],,National and Kapodistrian University of Athens,,,[],,{},[],,,[],{},[],,,,,87a64e40ffa7,2025-11-28T06:57:30.537000,,
